TEAM,DISCNAME,PICK,PLAYER,ENTERED INTO THE SPREADSHEET,,
Rockingham Subs,Basetornado,1,Nick Daicos,YES,ROUND 1,1
Bermi Bandicoots,Loke,2,Nasiah Wanganeen-Milera,YES,,
Fawkner Flightless Birds,aaron_mid,3,Errol Gulden,YES,,
North Fitzroy Fury,patch,4,Zak Butters,YES,,
Northcote ARCs,LucriousAU,5,Harry Sheezel,YES,,
Nar Nar Goon Geese,Clarky,6,Luke Jackson,YES,,
COLAC COWS,Geofison,7,Will Ashcroft,YES,,
South MoRum'uns,jesseSPANNER,8,Finn Callaghan,YES,,
Mordialloc Macaws,salsawithlemoncakes,9,Max Holmes,YES,,
Mont Albert Moggers,DangerSquid,10,Marcus Bontempelli,YES,,
Merlynston Merlins,Heavy G,11,Matt Rowell,YES,,
Darwin Dingoes,Captain Azure ,12,Bailey Smith,YES,,
Monemvasia Malakia,Tomdom,13,Sam Darcy,YES,,
The Werri-Beasts,Lowry16,14,Noah Anderson,YES,,
Diggers Rest Gold-Diggers,Gazbomb,15,Tristan Xerri,YES,,
Leopold Lightning,Random Hoss,16,Brodie Grundy,YES,,
Leopold Lightning,Random Hoss,17,Sam Flanders,YES,ROUND 2,2
Diggers Rest Gold-Diggers,Gazbomb,18,Caleb Serong,YES,,
The Werri-Beasts,Lowry16,19,Andrew Brayshaw,YES,,
Monemvasia Malakia,Tomdom,20,Tom De Koning,YES,,
Darwin Dingoes,Captain Azure ,21,Josh Weddle,YES,,
Merlynston Merlins,Heavy G,22,Max Gawn,YES,,
Mont Albert Moggers,DangerSquid,23,Connor Rozee,YES,,
Mordialloc Macaws,salsawithlemoncakes,24,Ed Richards,YES,,
South MoRum'uns,jesseSPANNER,25,Jordan Clark,YES,,
COLAC COWS,Geofison,26,Tim English,YES,,
Nar Nar Goon Geese,Clarky,27,Lachie Ash,YES,,
Northcote ARCs,LucriousAU,28,Hugh McCluggage,YES,,
North Fitzroy Fury,Patch,29,Zach Merrett,YES,,
Fawkner Flightless Birds,Aaron_Mid,30,Jagga Smith,YES,,
Bermi Bandicoots,Loke,31,Darcy Cameron,YES,,
Rockingham Subs,Basetornado,32,Willem Duursma,YES,,
Rockingham Subs,Basetornado,33,Rowan Marshall,YES,ROUND 3,3
Bermi Bandicoots,Loke,34,Levi Ashcroft,YES,,
Fawkner Flightless Birds,aaron_mid,35,Josh Smillie,YES,,
North Fitzroy Fury,patch,36,Colby McKercher,YES,,
Northcote ARCs,LucriousAU,37,Jye Caldwell,YES,,
Nar Nar Goon Geese,Clarky,38,Tom McCarthy,YES,,
COLAC COWS,Geofison,39,Joel Freijah,YES,,
South MoRum'uns,jesseSPANNER,40,Harley Reid,YES,,
Mordialloc Macaws,salsawithlemoncakes,41,Sam Lalor,YES,,
Mont Albert Moggers,DangerSquid,42,Harvey Langford,YES,,
Merlynston Merlins,Heavy G,43,Xavier Lindsay,YES,,
Darwin Dingoes,Captain Azure ,44,Jarrod Witts,YES,,
Monemvasia Malakia,Tomdom,45,Chad Warner,YES,,
The Werri-Beasts,Lowry16,46,Riley Thilthorpe,YES,,
Diggers Rest Gold-Diggers,Gazbomb,47,Ryley Sanders,YES,,
Leopold Lightning,Random Hoss,48,Jordan Dawson,YES,,
Leopold Lightning,Random Hoss,49,Josh Dunkley,YES,ROUND 4,4
Diggers Rest Gold-Diggers,Gazbomb,50,Murphy Reid,YES,,
The Werri-Beasts,Lowry16,51,Sam Walsh,YES,,
Monemvasia Malakia,Tomdom,52,Jason Horne-Francis,YES ,,
Darwin Dingoes,Captain Azure ,53,Isaac Kako,YES,,
Merlynston Merlins,Heavy G,54,Jai Newcombe,YES,,
Mont Albert Moggers,DangerSquid,55,Bailey Humphrey,YES,,
Mordialloc Macaws,salsawithlemoncakes,56,Archie Roberts,YES,,
South MoRum'uns,jesseSPANNER,57,Kysaiah Pickett,YES,,
COLAC COWS,Geofison,58,Josh Daicos,YES,,
Nar Nar Goon Geese,Clarky,59,Tom Liberatore,YES,,
Northcote ARCs,LucriousAU,60,Dyson Sharp,YES,,
North Fitzroy Fury,Patch,61,Tom Green,YES,, 
Fawkner Flightless Birds,Aaron_Mid,62,Jordon Sweet,YES,,
Bermi Bandicoots,Loke,63,Christian Petracca,YES,,
Rockingham Subs,Basetornado,64,Nick Blakey,YES,,
Rockingham Subs,Basetornado,65,Leonardo Lombard,YES,ROUND 5,5
Bermi Bandicoots,Loke,66,Shaun Mannagh,YES,,
Fawkner Flightless Birds,aaron_mid,67,Izak Rankine,YES,,
North Fitzroy Fury,patch,68,Jack Sinclair,YES,,
Northcote ARCs,LucriousAU,69,Lachlan McAndrew,YES,,
Nar Nar Goon Geese,Clarky,70,Isaac Heeney,YES,,
COLAC COWS,Geofison,71,Lawson Humphries,YES,,
South MoRum'uns,jesseSPANNER,72,Hayden Young,YES,,
Mordialloc Macaws,salsawithlemoncakes,73,Lachie Whitfield,YES,,
Mont Albert Moggers,DangerSquid,74,Luke Davies-Uniacke,YES,,
Merlynston Merlins,Heavy G,75,Marcus Windhager,YES,,
Darwin Dingoes,Captain Azure ,76,Ben Keays,YES,,
Monemvasia Malakia,Tomdom,77,Zeke Uwland,YES,,
The Werri-Beasts,Lowry16,78,Josh Worrell,YES,,
Diggers Rest Gold-Diggers,Gazbomb,79,Daniel Curtin,YES,,
Leopold Lightning,Leopold Lightning,80,Jaspa Fletcher,YES,,
Leopold Lightning,Leopold Lightning,81,Max Hall,YES,ROUND 6,6
Diggers Rest Gold-Diggers,Gazbomb,82,Finn O'Sullivan,YES,,
The Werri-Beasts,Lowry16,83,Kieren Briggs,YES,,
Monemvasia Malakia,Tomdom,84,George Wardlaw,YES ,,
Darwin Dingoes,Captain Azure ,85,Max Michalanney,YES,,
Merlynston Merlins,Heavy G,86,Harry Dean,YES,,
Mont Albert Moggers,DangerSquid,87,Connor O'Sullivan,YES,,
Mordialloc Macaws,salsawithlemoncakes,88,Caleb Windsor,YES,,
South MoRum'uns,jesseSPANNER,89,Zac Bailey,YES,,
COLAC COWS,Geofison,90,Karl Amon,YES,,
Nar Nar Goon Geese,Clarky,91,Mattaes Phillipou,YES,,
Northcote ARCs,LucriousAU,92,Dylan Patterson,YES,,
North Fitzroy Fury,Patch,93,Sid Draper,YES,,
Fawkner Flightless Birds,Aaron_Mid,94,Trent Rivers,YES,,
Bermi Bandicoots,Loke,95,Samuel Grlj,YES,,
Rockingham Subs,Basetornado,96,Jack Macrae,YES,,
Rockingham Subs,Basetornado,97,Ryan Maric,YES,ROUND 7,7
Bermi Bandicoots,Loke,98,Bailey Dale,YES,,
Fawkner Flightless Birds,aaron_mid,99,Daniel Annable,YES,,
North Fitzroy Fury,patch,100,Aaron Cadman,YES,,
Northcote ARCs,LucriousAU,101,Sam Banks,YES,,
Nar Nar Goon Geese,Clarky,102,Logan Morris,YES,,
COLAC COWS,Geofison,103,George Hewett,YES,,
South MoRum'uns,jesseSPANNER,104,Jacob Farrow,YES,,
Mordialloc Macaws,salsawithlemoncakes,105,Samuel Cumming,YES,,
Mont Albert Moggers,DangerSquid,106,Touk Miller,YES,,
Merlynston Merlins,Heavy G,107,Oliver Hollands,YES,,
Darwin Dingoes,Captain Azure ,108,Jack Steele,YES,,
Monemvasia Malakia,Tomdom,109,Luke Trainor,YES,,
The Werri-Beasts,Lowry16,110,Josh Lindsay,YES,,
Diggers Rest Gold-Diggers,Gazbomb,111,Will Day,YES,,
Leopold Lightning,Leopold Lightning,112,Cooper Duff-Tytler,YES,,
Leopold Lightning,Leopold Lightning,113,Sullivan Robey,YES,ROUND 8,8
Diggers Rest Gold-Diggers,Gazbomb,114,Nic Martin,YES,,
The Werri-Beasts,Lowry16,115,Lachie Neale,YES,,
Monemvasia Malakia,Tomdom,116,Alixzander Tauru,YES,,
Darwin Dingoes,Captain Azure ,117,Josh Treacy,YES,,
Merlynston Merlins,Heavy G,118,Lachy Dovaston,YES,,
Mont Albert Moggers,DangerSquid,119,Darcy Wilson,YES,,
Mordialloc Macaws,salsawithlemoncakes,120,Toby Nankervis,YES,,
South MoRum'uns,jesseSPANNER,121,Lachlan Blakiston,YES,,
COLAC COWS,Geofison,122,Clayton Oliver,YES,,
Nar Nar Goon Geese,Clarky,123,Edward Allan,YES,,
Northcote ARCs,LucriousAU,124,Rory Laird,YES,,
North Fitzroy Fury,Patch,125,Dante Visentini,YES,,
Fawkner Flightless Birds,Aaron_Mid,126,Nick Watson,YES,,
Bermi Bandicoots,Loke,127,Kane McAuliffe,YES,,
Rockingham Subs,Basetornado,128,Gryan Miers,YES,,
Rockingham Subs,Basetornado,129,Harry Himmelberg,YES,ROUND 9,9
Bermi Bandicoots,Loke,130,Josh Rachele,YES,,
Fawkner Flightless Birds,aaron_mid,131,Sam Clohesy,YES,,
North Fitzroy Fury,patch,132,Tom Blamires,YES,,
